uid,y_true
x01:497,1
x01:498,1
x01:499,1
x01:500,1
x01:501,1
x01:502,1
x01:503,1
x01:504,1
x01:505,1
x01:506,1
x01:507,1
x01:508,1
x01:509,1
x01:510,1
x01:511,1
x01:512,1
x01:513,1
x01:514,1
x01:515,1
x01:516,1
x01:517,0
x01:518,0
x01:519,0
x01:520,1
x01:521,0
x02:0,0
x02:1,0
x02:2,0
x02:3,0
x02:4,0
x02:5,0
x02:6,0
x02:7,0
x02:8,0
x02:9,0
x02:10,0
x02:11,0
x02:12,0
x02:13,0
x02:14,0
x02:15,0
x02:16,0
x02:17,0
x02:18,0
x02:19,0
x02:20,0
x02:21,0
x02:22,0
x02:23,0
x02:24,0
x02:25,0
x02:26,0
x02:27,0
x02:28,0
x02:29,0
x02:30,0
x02:31,0
x02:32,0
x02:33,0
x02:34,0
x02:35,0
x02:36,0
x02:37,0
x02:38,0
x02:39,0
x02:40,0
x02:41,0
x02:42,0
x02:43,0
x02:44,0
x02:45,0
x02:46,0
x02:47,0
x02:48,0
x02:49,0
x02:50,0
x02:51,0
x02:52,0
x02:53,0
x02:54,0
x02:55,0
x02:56,0
x02:57,0
x02:58,0
x02:59,0
x02:60,0
x02:61,0
x02:62,0
x02:63,0
x02:64,0
x02:65,0
x02:66,0
x02:67,0
x02:68,0
x02:69,1
x02:70,1
x02:71,1
x02:72,1
x02:73,1
x02:74,0
x02:75,0
x02:76,0
x02:77,0
x02:78,0
x02:79,0
x02:80,0
x02:81,0
x02:82,1
x02:83,1
x02:84,1
x02:85,1
x02:86,1
x02:87,1
x02:88,1
x02:89,1
x02:90,1
x02:91,1
x02:92,1
x02:93,1
x02:94,1
x02:95,1
x02:96,1
x02:97,1
x02:98,1
x02:99,1
x02:100,0
x02:101,0
x02:102,1
x02:103,1
x02:104,0
x02:105,0
x02:106,0
x02:107,0
x02:108,0
x02:109,0
x02:110,0
x02:111,0
x02:112,0
x02:113,0
x02:114,0
x02:115,0
x02:116,0
x02:117,0
x02:118,0
x02:119,0
x02:120,0
x02:121,0
x02:122,0
x02:123,0
x02:124,0
x02:125,0
x02:126,0
x02:127,0
x02:128,0
x02:129,0
x02:130,0
x02:131,0
x02:132,0
x02:133,1
x02:134,1
x02:135,1
x02:136,1
x02:137,1
x02:138,1
x02:139,1
x02:140,1
x02:141,1
x02:142,1
x02:143,1
x02:144,1
x02:145,1
x02:146,1
x02:147,1
x02:148,1
x02:149,1
x02:150,1
x02:151,1
x02:152,1
x02:153,1
x02:154,1
x02:155,1
x02:156,1
x02:157,1
x02:158,1
x02:159,0
x02:160,0
x02:161,0
x02:162,0
x02:163,0
x02:164,0
x02:165,0
x02:166,0
x02:167,0
x02:168,0
x02:169,0
x02:170,0
x02:171,0
x02:172,0
x02:173,0
x02:174,0
x02:175,0
x02:176,0
x02:177,0
x02:178,0
x02:179,0
x02:180,0
x02:181,0
x02:182,0
x02:183,0
x02:184,0
x02:185,0
x02:186,0
x02:187,0
x02:188,0
x02:189,0
x02:190,0
x02:191,0
x02:192,0
x02:193,0
x02:194,0
x02:195,0
x02:196,0
x02:197,0
x02:198,0
x02:199,0
x02:200,0
x02:201,0
x02:202,1
x02:203,1
x02:204,1
x02:205,1
x02:206,1
x02:207,1
x02:208,1
x02:209,1
x02:210,1
x02:211,1
x02:212,1
x02:213,1
x02:214,1
x02:215,1
x02:216,1
x02:217,1
x02:218,1
x02:219,1
x02:220,1
x02:221,1
x02:222,1
x02:223,1
x02:224,0
x02:225,0
x02:226,0
x02:227,0
x02:228,0
x02:229,0
x02:230,0
x02:231,0
x02:232,0
x02:233,0
x02:234,0
x02:235,0
x02:236,0
x02:237,0
x02:238,0
x02:239,0
x02:240,0
x02:241,0
x02:242,0
x02:243,0
x02:244,0
x02:245,0
x02:246,0
x02:247,0
x02:248,0
x02:249,0
x02:250,0
x02:251,0
x02:252,0
x02:253,0
x02:254,0
x02:255,0
x02:256,0
x02:257,0
x02:258,0
x02:259,0
x02:260,0
x02:261,0
x02:262,0
x02:263,0
x02:264,0
x02:265,0
x02:266,0
x02:267,0
x02:268,0
x02:269,0
x02:270,0
x02:271,0
x02:272,0
x02:273,0
x02:274,0
x02:275,0
x02:276,0
x02:277,0
x02:278,0
x02:279,0
x02:280,0
x02:281,0
x02:282,0
x02:283,0
x02:284,0
x02:285,0
x02:286,0
x02:287,0
x02:288,1
x02:289,1
x02:290,1
x02:291,1
x02:292,1
x02:293,1
x02:294,1
x02:295,1
x02:296,1
x02:297,1
x02:298,1
x02:299,1
x02:300,1
x02:301,1
x02:302,1
x02:303,1
x02:304,1
x02:305,1
x02:306,1
x02:307,1
x02:308,1
x02:309,1
x02:310,1
x02:311,1
x02:312,1
x02:313,1
x02:314,1
x02:315,1
x02:316,1
x02:317,1
x02:318,1
x02:319,1
x02:320,1
x02:321,1
x02:322,1
x02:323,1
x02:324,1
x02:325,1
x02:326,1
x02:327,1
x02:328,1
x02:329,1
x02:330,1
x02:331,1
x02:332,1
x02:333,1
x02:334,1
x02:335,1
x02:336,1
x02:337,1
x02:338,1
x02:339,1
x02:340,1
x02:341,1
x02:342,1
x02:343,1
x02:344,1
x02:345,1
x02:346,1
x02:347,1
x02:348,1
x02:349,1
x02:350,1
x02:351,1
x02:352,1
x02:353,1
x02:354,1
x02:355,1
x02:356,1
x02:357,1
x02:358,1
x02:359,1
x02:360,1
x02:361,0
x02:362,0
x02:363,0
x02:364,0
x02:365,0
x02:366,0
x02:367,0
x02:368,0
x02:369,0
x02:370,0
x02:371,0
x02:372,1
x02:373,1
x02:374,1
x02:375,1
x02:376,1
x02:377,1
x02:378,1
x02:379,1
x02:380,1
x02:381,1
x02:382,1
x02:383,1
x02:384,1
x02:385,1
x02:386,1
x02:387,1
x02:388,1
x02:389,1
x02:390,1
x02:391,1
x02:392,0
x02:393,0
x02:394,0
x02:395,0
x02:396,0
x02:397,0
x02:398,0
x02:399,0
x02:400,1
x02:401,1
x02:402,1
x02:403,1
x02:404,1
x02:405,1
x02:406,1
x02:407,0
x02:408,0
x02:409,0
x02:410,0
x02:411,0
x02:412,0
x02:413,0
x02:414,0
x02:415,0
x02:416,0
x02:417,0
x02:418,0
x02:419,0
x02:420,0
x02:421,0
x02:422,0
x02:423,0
x02:424,0
x02:425,0
x02:426,0
x02:427,0
x02:428,0
x02:429,0
x02:430,0
x02:431,0
x02:432,0
x02:433,1
x02:434,1
x02:435,1
x02:436,1
x02:437,1
x02:438,1
x02:439,1
x02:440,1
x02:441,1
x02:442,1
x02:443,1
x02:444,1
x02:445,1
x02:446,1
x02:447,1
x02:448,1
x02:449,1
x02:450,1
x02:451,1
x02:452,1
x02:453,1
x02:454,1
x02:455,1
x02:456,1
x02:457,1
x02:458,1
x02:459,1
x02:460,1
x02:461,1
x02:462,1
x02:463,1
x02:464,1
x02:465,1
x02:466,1
x02:467,1
x02:468,1
x03:0,0
x03:1,0
x03:2,0
x03:3,0
x03:4,0
x03:5,0
x03:6,0
x03:7,0
x03:8,0
x03:9,0
x03:10,0
x03:11,0
x03:12,0
x03:13,0
x03:14,0
x03:15,0
x03:16,0
x03:17,0
x03:18,0
x03:19,0
x03:20,0
x03:21,0
x03:22,0
x03:23,0
x03:24,0
x03:25,0
x03:26,0
x03:27,0
x03:28,0
x03:29,0
x03:30,0
x03:31,0
x03:32,0
x03:33,0
x03:34,0
x03:35,0
x03:36,0
x03:37,0
x03:38,0
x03:39,0
x03:40,0
x03:41,0
x03:42,0
x03:43,0
x03:44,0
x03:45,0
x03:46,0
x03:47,0
x03:48,0
x03:49,0
x03:50,0
x03:51,0
x03:52,0
x03:53,0
x03:54,0
x03:55,0
x03:56,0
x03:57,0
x03:58,0
x03:59,0
x03:60,0
x03:61,0
x03:62,0
x03:63,0
x03:64,0
x03:65,0
x03:66,0
x03:67,0
x03:68,0
x03:69,0
x03:70,0
x03:71,0
x03:72,0
x03:73,0
x03:74,0
x03:75,0
x03:76,0
x03:77,0
x03:78,0
x03:79,0
x03:80,0
x03:81,0
x03:82,0
x03:83,0
x03:84,0
x03:85,0
x03:86,0
x03:87,0
x03:88,0
x03:89,0
x03:90,0
x03:91,0
x03:92,0
x03:93,0
x03:94,0
x03:95,0
x03:96,0
x03:97,0
x03:98,0
x03:99,0
x03:100,0
x03:101,0
x03:102,0
x03:103,0
x03:104,0
x03:105,0
x03:106,0
x03:107,0
x03:108,0
x03:109,0
x03:110,0
x03:111,0
x03:112,0
x03:113,0
x03:114,0
x03:115,0
x03:116,0
x03:117,0
x03:118,0
x03:119,0
x03:120,0
x03:121,0
x03:122,0
x03:123,0
x03:124,0
x03:125,0
x03:126,0
x03:127,0
x03:128,0
x03:129,0
x03:130,1
x03:131,1
x03:132,1
x03:133,1
x03:134,0
x03:135,0
x03:136,0
x03:137,0
x03:138,0
x03:139,0
x03:140,0
x03:141,0
x03:142,1
x03:143,1
x03:144,0
x03:145,0
x03:146,0
x03:147,0
x03:148,0
x03:149,0
x03:150,1
x03:151,0
x03:152,0
x03:153,0
x03:154,0
x03:155,0
x03:156,1
x03:157,0
x03:158,0
x03:159,0
x03:160,0
x03:161,0
x03:162,0
x03:163,0
x03:164,0
x03:165,0
x03:166,0
x03:167,0
x03:168,0
x03:169,0
x03:170,0
x03:171,0
x03:172,0
x03:173,0
x03:174,0
x03:175,0
x03:176,0
x03:177,0
x03:178,0
x03:179,0
x03:180,0
x03:181,0
x03:182,0
x03:183,0
x03:184,0
x03:185,0
x03:186,0
x03:187,0
x03:188,0
x03:189,0
x03:190,0
x03:191,0
x03:192,0
x03:193,0
x03:194,0
x03:195,0
x03:196,0
x03:197,0
x03:198,0
x03:199,0
x03:200,0
x03:201,0
x03:202,0
x03:203,0
x03:204,0
x03:205,0
x03:206,0
x03:207,0
x03:208,0
x03:209,0
x03:210,1
x03:211,0
x03:212,0
x03:213,1
x03:214,1
x03:215,0
x03:216,0
x03:217,0
x03:218,0
x03:219,0
x03:220,1
x03:221,0
x03:222,0
x03:223,0
x03:224,0
x03:225,0
x03:226,0
x03:227,0
x03:228,0
x03:229,0
x03:230,0
x03:231,0
x03:232,0
x03:233,0
x03:234,0
x03:235,0
x03:236,0
x03:237,0
x03:238,0
x03:239,0
x03:240,0
x03:241,0
x03:242,0
x03:243,0
x03:244,0
x03:245,0
x03:246,0
x03:247,0
x03:248,0
x03:249,0
x03:250,0
x03:251,0
x03:252,0
x03:253,0
x03:254,0
x03:255,0
x03:256,0
x03:257,0
x03:258,0
x03:259,0
x03:260,0
x03:261,0
x03:262,0
x03:263,0
x03:264,0
x03:265,0
x03:266,0
x03:267,0
x03:268,0
x03:269,0
x03:270,0
x03:271,0
x03:272,0
x03:273,0
x03:274,0
x03:275,0
x03:276,0
x03:277,0
x03:278,0
x03:279,0
x03:280,0
x03:281,0
x03:282,0
x03:283,0
x03:284,0
x03:285,0
x03:286,0
x03:287,0
x03:288,0
x03:289,0
x03:290,0
x03:291,0
x03:292,0
x03:293,0
x03:294,0
x03:295,0
x03:296,0
x03:297,0
x03:298,0
x03:299,0
x03:300,0
x03:301,0
x03:302,0
x03:303,0
x03:304,0
x03:305,0
x03:306,0
x03:307,0
x03:308,0
x03:309,0
x03:310,0
x03:311,0
x03:312,0
x03:313,0
x03:314,0
x03:315,0
x03:316,0
x03:317,0
x03:318,0
x03:319,0
x03:320,0
x03:321,0
x03:322,0
x03:323,0
x03:324,0
x03:325,0
x03:326,0
x03:327,0
x03:328,0
x03:329,0
x03:330,0
x03:331,0
x03:332,0
x03:333,0
x03:334,0
x03:335,0
x03:336,0
x03:337,0
x03:338,0
x03:339,0
x03:340,0
x03:341,0
x03:342,0
x03:343,0
x03:344,0
x03:345,0
x03:346,0
x03:347,0
x03:348,0
x03:349,0
x03:350,0
x03:351,0
x03:352,0
x03:353,0
x03:354,0
x03:355,0
x03:356,0
x03:357,0
x03:358,0
x03:359,0
x03:360,0
x03:361,0
x03:362,0
x03:363,0
x03:364,0
x03:365,0
x03:366,0
x03:367,0
x03:368,0
x03:369,0
x03:370,0
x03:371,0
x03:372,0
x03:373,0
x03:374,0
x03:375,0
x03:376,0
x03:377,0
x03:378,0
x03:379,0
x03:380,0
x03:381,0
x03:382,0
x03:383,0
x03:384,0
x03:385,0
x03:386,0
x03:387,0
x03:388,0
x03:389,0
x03:390,0
x03:391,0
x03:392,0
x03:393,0
x03:394,0
x03:395,0
x03:396,0
x03:397,0
x03:398,0
x03:399,0
x03:400,0
x03:401,0
x03:402,0
x03:403,0
x03:404,0
x03:405,0
x03:406,0
x03:407,0
x03:408,0
x03:409,0
x03:410,0
x03:411,0
x03:412,0
x03:413,0
x03:414,0
x03:415,0
x03:416,0
x03:417,0
x03:418,0
x03:419,0
x03:420,0
x03:421,0
x03:422,0
x03:423,0
x03:424,0
x03:425,0
x03:426,0
x03:427,0
x03:428,0
x03:429,0
x03:430,0
x03:431,0
x03:432,0
x03:433,0
x03:434,0
x03:435,0
x03:436,0
x03:437,0
x03:438,0
x03:439,0
x03:440,0
x03:441,0
x03:442,0
x03:443,0
x03:444,0
x03:445,0
x03:446,0
x03:447,0
x03:448,0
x03:449,0
x03:450,0
x03:451,0
x03:452,0
x03:453,0
x03:454,0
x03:455,0
x03:456,0
x03:457,0
x03:458,0
x03:459,0
x03:460,0
x03:461,0
x03:462,0
x03:463,0
x03:464,0
x04:0,0
x04:1,0
x04:2,0
x04:3,0
x04:4,0
x04:5,0
x04:6,0
x04:7,0
x04:8,0
x04:9,0
x04:10,0
x04:11,0
x04:12,0
x04:13,0
x04:14,0
x04:15,0
x04:16,0
x04:17,0
x04:18,0
x04:19,0
x04:20,0
x04:21,0
x04:22,0
x04:23,0
x04:24,0
x04:25,0
x04:26,0
x04:27,0
x04:28,0
x04:29,0
x04:30,0
x04:31,0
x04:32,0
x04:33,0
x04:34,0
x04:35,0
x04:36,0
x04:37,0
x04:38,0
x04:39,0
x04:40,0
x04:41,0
x04:42,0
x04:43,0
x04:44,0
x04:45,0
x04:46,0
x04:47,0
x04:48,0
x04:49,0
x04:50,0
x04:51,0
x04:52,0
x04:53,0
x04:54,0
x04:55,0
x04:56,0
x04:57,0
x04:58,0
x04:59,0
x04:60,0
x04:61,0
x04:62,0
x04:63,0
x04:64,0
x04:65,0
x04:66,0
x04:67,0
x04:68,0
x04:69,0
x04:70,0
x04:71,0
x04:72,0
x04:73,0
x04:74,0
x04:75,0
x04:76,0
x04:77,0
x04:78,0
x04:79,0
x04:80,0
x04:81,0
x04:82,0
x04:83,0
x04:84,0
x04:85,0
x04:86,0
x04:87,0
x04:88,0
x04:89,0
x04:90,0
x04:91,0
x04:92,0
x04:93,0
x04:94,0
x04:95,0
x04:96,0
x04:97,0
x04:98,0
x04:99,0
x04:100,0
x04:101,0
x04:102,0
x04:103,0
x04:104,0
x04:105,0
x04:106,0
x04:107,0
x04:108,0
x04:109,0
x04:110,0
x04:111,0
x04:112,0
x04:113,0
x04:114,0
x04:115,0
x04:116,0
x04:117,0
x04:118,0
x04:119,0
x04:120,0
x04:121,0
x04:122,0
x04:123,0
x04:124,0
x04:125,0
x04:126,0
x04:127,0
x04:128,0
x04:129,0
x04:130,0
x04:131,0
x04:132,0
x04:133,0
x04:134,0
x04:135,0
x04:136,0
x04:137,0
x04:138,0
x04:139,0
x04:140,0
x04:141,0
x04:142,0
x04:143,0
x04:144,0
x04:145,0
x04:146,0
x04:147,0
x04:148,0
x04:149,0
x04:150,0
x04:151,0
x04:152,0
x04:153,0
x04:154,0
x04:155,0
x04:156,0
x04:157,0
x04:158,0
x04:159,0
x04:160,0
x04:161,0
x04:162,0
x04:163,0
x04:164,0
x04:165,0
x04:166,0
x04:167,0
x04:168,0
x04:169,0
x04:170,0
x04:171,0
x04:172,0
x04:173,0
x04:174,0
x04:175,0
x04:176,0
x04:177,0
x04:178,0
x04:179,0
x04:180,0
x04:181,0
x04:182,0
x04:183,0
x04:184,0
x04:185,0
x04:186,0
x04:187,0
x04:188,0
x04:189,0
x04:190,0
x04:191,0
x04:192,0
x04:193,0
x04:194,0
x04:195,0
x04:196,0
x04:197,0
x04:198,0
x04:199,0
x04:200,0
x04:201,0
x04:202,0
x04:203,0
x04:204,0
x04:205,0
x04:206,0
x04:207,0
x04:208,0
x04:209,0
x04:210,0
x04:211,0
x04:212,0
x04:213,0
x04:214,0
x04:215,0
x04:216,0
x04:217,0
x04:218,0
x04:219,0
x04:220,0
x04:221,0
x04:222,0
x04:223,0
x04:224,0
x04:225,0
x04:226,0
x04:227,0
x04:228,0
x04:229,0
x04:230,0
x04:231,0
x04:232,0
x04:233,0
x04:234,0
x04:235,0
x04:236,0
x04:237,0
x04:238,0
x04:239,0
x04:240,0
x04:241,0
x04:242,0
x04:243,0
x04:244,0
x04:245,0
x04:246,0
x04:247,0
x04:248,0
x04:249,0
x04:250,0
x04:251,0
x04:252,0
x04:253,0
x04:254,0
x04:255,0
x04:256,0
x04:257,0
x04:258,0
x04:259,0
x04:260,0
x04:261,0
x04:262,0
x04:263,0
x04:264,0
x04:265,0
x04:266,0
x04:267,0
x04:268,0
x04:269,0
x04:270,0
x04:271,0
x04:272,0
x04:273,0
x04:274,0
x04:275,0
x04:276,0
x04:277,0
x04:278,0
x04:279,0
x04:280,0
x04:281,0
x04:282,0
x04:283,0
x04:284,0
x04:285,0
x04:286,0
x04:287,0
x04:288,0
x04:289,0
x04:290,0
x04:291,0
x04:292,0
x04:293,0
x04:294,0
x04:295,0
x04:296,0
x04:297,0
x04:298,0
x04:299,0
x04:300,0
x04:301,0
x04:302,0
x04:303,0
x04:304,0
x04:305,0
x04:306,0
x04:307,0
x04:308,0
x04:309,0
x04:310,0
x04:311,0
x04:312,0
x04:313,0
x04:314,0
x04:315,0
x04:316,0
x04:317,0
x04:318,0
x04:319,0
x04:320,0
x04:321,0
x04:322,0
x04:323,0
x04:324,0
x04:325,0
x04:326,0
x04:327,0
x04:328,0
x04:329,0
x04:330,0
x04:331,0
x04:332,0
x04:333,0
x04:334,0
x04:335,0
x04:336,0
x04:337,0
x04:338,0
x04:339,0
x04:340,0
x04:341,0
x04:342,0
x04:343,0
x04:344,0
x04:345,0
x04:346,0
x04:347,0
x04:348,0
x04:349,0
x04:350,0
x04:351,0
x04:352,0
x04:353,0
x04:354,0
x04:355,0
x04:356,0
x04:357,0
x04:358,0
x04:359,0
x04:360,0
x04:361,0
x04:362,0
x04:363,0
x04:364,0
x04:365,0
x04:366,0
x04:367,0
x04:368,0
x04:369,0
x04:370,0
x04:371,0
x04:372,0
x04:373,0
x04:374,0
x04:375,0
x04:376,0
x04:377,0
x04:378,0
x04:379,0
x04:380,0
x04:381,0
x04:382,0
x04:383,0
x04:384,0
x04:385,0
x04:386,0
x04:387,0
x04:388,0
x04:389,0
x04:390,0
x04:391,0
x04:392,0
x04:393,0
x04:394,0
x04:395,0
x04:396,0
x04:397,0
x04:398,0
x04:399,0
x04:400,0
x04:401,0
x04:402,0
x04:403,0
x04:404,0
x04:405,0
x04:406,0
x04:407,0
x04:408,0
x04:409,0
x04:410,0
x04:411,0
x04:412,0
x04:413,0
x04:414,0
x04:415,0
x04:416,0
x04:417,0
x04:418,0
x04:419,0
x04:420,0
x04:421,0
x04:422,0
x04:423,0
x04:424,0
x04:425,0
x04:426,0
x04:427,0
x04:428,0
x04:429,0
x04:430,0
x04:431,0
x04:432,0
x04:433,0
x04:434,0
x04:435,0
x04:436,0
x04:437,0
x04:438,0
x04:439,0
x04:440,0
x04:441,0
x04:442,0
x04:443,0
x04:444,0
x04:445,0
x04:446,0
x04:447,0
x04:448,0
x04:449,0
x04:450,0
x04:451,0
x04:452,0
x04:453,0
x04:454,0
x04:455,0
x04:456,0
x04:457,0
x04:458,0
x04:459,0
x04:460,0
x04:461,0
x04:462,0
x04:463,0
x04:464,0
x04:465,0
x04:466,0
x04:467,0
x04:468,0
x04:469,0
x04:470,0
x04:471,0
x04:472,0
x04:473,0
x04:474,0
x04:475,0
x04:476,0
x04:477,0
x04:478,0
x04:479,0
x04:480,0
x05:0,0
x05:1,0
x05:2,0
x05:3,0
x05:4,0
x05:5,0
x05:6,0
x05:7,0
x05:8,0
x05:9,0
x05:10,0
x05:11,0
x05:12,0
x05:13,0
x05:14,0
x05:15,0
x05:16,0
x05:17,0
x05:18,0
x05:19,0
x05:20,0
x05:21,0
x05:22,0
x05:23,0
x05:24,0
x05:25,1
x05:26,0
x05:27,0
x05:28,0
x05:29,0
x05:30,0
x05:31,0
x05:32,0
x05:33,0
x05:34,0
x05:35,0
x05:36,0
x05:37,1
x05:38,1
x05:39,1
x05:40,1
x05:41,0
x05:42,0
x05:43,1
x05:44,0
x05:45,0
x05:46,1
x05:47,1
x05:48,1
x05:49,1
x05:50,1
x05:51,1
x05:52,1
x05:53,1
x05:54,1
x05:55,1
x05:56,1
x05:57,1
x05:58,1
x05:59,1
x05:60,1
